tahun,sub_holding,sub_holding_original,unit_operasi,wilayah_kerja,luasan_offsite_ha,luasan_overlap_ha,luasan_total_ha,location_adjacent,location_overlapped,biodiversity_score,biodiversity_category,fauna_names,fauna_released_count,flora_names
2024,SH Downstream,SH R&P,RU VII,,70.7,,70.7,,,3.245,Tinggi,"1. Mambruk Ubiaat (Dilindungi dan Vulnerable)
2. Rusa Timo (Dilindungi dan Vulnerable)",,"1. Araucaria heterophylla – Cemara Norfolk (VU/NA/Tidak Dilindungi)
2. Samanea saman – Trembesi (LC/NA/Tidak Dilindungi)"
2024,SH Downstream,SH R&P,Tuban Petro & TPPI,,,,,,,,,,,
2024,SH Gas,SH Gas,GAGAS,,,,,,,,,,,
2024,SH Gas,SH Gas,Gasnet,,,,,,,,,,,
2024,SH Gas,SH Gas,KJG,,,,,,,,,,,
2024,SH Gas,SH Gas,Nusantara Regas,,,,,,,,,,,
2024,SH Gas,SH Gas,PGN,,,,,,,,,,,
2024,SH Gas,SH Gas,PGN COM,,,,,,,,,,,
2024,SH Gas,SH Gas,PGN MAS Group,,,,,,,,,,,
2024,SH Gas,SH Gas,PLI Group,,,,,,,,,,,
2024,SH Gas,SH Gas,Perkasa,,,,,,,,,,,
2024,SH Gas,SH Gas,Perta Arun gas,,,,,,,,,,,
2024,SH Gas,SH Gas,Perta Daya Gas,,,,,,,,,,,
2024,SH Gas,SH Gas,Perta Samtan Gas,,,,,,,,,,,
2024,SH Gas,SH Gas,Pertagas,,,,,,,,,,,
2024,SH Gas,SH Gas,Pertagas Niaga,,,,,,,,,,,
2024,SH Gas,SH Gas,Pgas Solution,,,,,,,,,,,
2024,SH Gas,SH Gas,SAKA Energi Muriag Limited,,,,,,,,,,,
2024,SH Gas,SH Gas,SAKA Indonesia Pangkah Limited,,,,,,,,,,,
2024,SH Gas,SH Gas,Sena,,,,,,,,,,,
2024,SH Gas,SH Gas,TGI,,,,,,,,,,,
2024,SH Gas,SH Gas,Widar Mandripa Nusantara,,,,,,,,,,,
2024,SH PNRE,SH PNRE,PGE Area Kamojang,,,42.05,42.05,yes,yes,,,"Elang Jawa (Nisaetus bartelsi), status IUCN : Dilindungi Peraturan Perundang-undangan (DL), Endangered (EN)
Accipiter sp
Bubo sp
Butastur sp
Elanus sp
Falco sp
Haliaeetus sp
Haliastur sp
Hieraatus sp
Ichtianetus sp
Milvus sp
Pernis sp
Spilornis sp
Tyto sp",16,"Jumlah Individu: 393.677
Saurauia cauliflora (VU)
Actinodaphne glomerata (LC)
Schima wallichi, (LC),
Magnolia blumei (LC),
Ficus variegata,(LC)"
